"id","player.name","xA","play_pattern.name","pass.length","pass.angle","pass.height.name","pass.body_part.name","start.X","start.Y","end.X","end.Y","pass.outcome"
"29833cb8-8e12-4ee3-9b84-08071b473cf2","Samuel Eto""o Fils",0.011395405,"Regular Play",12.5028,1.442473,"Ground Pass","Right Foot",71.6,20.9,73.2,33.3,"No goal"
"527ecfc0-d87d-40c2-90b7-ce57484b779d","Xavier Hernández Creus",0.057895795,"From Corner",8.221922,0.07304057,"Low Pass","Right Foot",94.3,46.6,102.5,47.2,"No goal"
"04301729-7bf6-4ca4-bd04-c0e534312072","Ronaldo de Assis Moreira",0.016967786,"From Corner",5.3366656,-2.9147937,"Ground Pass","Right Foot",114.4,76.2,109.2,75,"No goal"
"5eb6b21c-d213-4781-a6a7-9c6461ac105d","Laurent Courtois",0.12569624,"From Corner",16.012495,2.051202,"Ground Pass","Left Foot",105.6,12.6,98.2,26.8,"No goal"
"dc5c1fc3-6837-4193-964e-6aca81dee52b","Andrés Iniesta Luján",0.07588456,"From Throw In",7.302739,-1.5434059,"Ground Pass","Right Foot",109.4,30.8,109.6,23.5,"No goal"
"8bcee822-1398-46a3-88b5-505df158c692","Xavier Hernández Creus",0.019582046,"From Goal Kick",21.428253,1.5194397,"Ground Pass","Right Foot",83.3,31.5,84.4,52.9,"No goal"
"995e3c78-212a-4bab-8de3-3bfb73855698","Ronaldo de Assis Moreira",0.06428923,"From Corner",11.322544,2.8366003,"Ground Pass","Right Foot",117.2,10.4,106.4,13.8,"No goal"
"db1734d2-fe93-4a3d-bbbb-65eacde4df0d","Xavier Hernández Creus",0.09588729,"From Throw In",5.234501,3.026716,"Ground Pass","Left Foot",108.1,52.7,102.9,53.3,"Goal"
"a3f382ed-2d45-4fec-a35a-1dacc3ff74f5","Laurent Courtois",0.1212417,"From Free Kick",43.78881,-0.44628468,"High Pass","Left Foot",78.2,51.2,117.7,32.3,"No goal"
"04ae35a9-3857-4d5d-b75c-9ec1ecf54f97","Lionel Andrés Messi Cuccittini",0.51250935,"From Throw In",23.384825,0.35827017,"Ground Pass","Right Foot",91.3,23.6,113.2,31.8,"Goal"
"75b9dcb4-5a9c-4428-95ee-b641c50dc737","Lionel Andrés Messi Cuccittini",0.8946666,"Regular Play",20.739576,-1.3421905,"Ground Pass","Right Foot",108,57.7,112.7,37.5,"Goal"
"ee55486c-5936-4685-ad93-fac3c69df586","Juan Manuel Gómez Sánchez",0.019690841,"Regular Play",24.507345,1.5463114,"Ground Pass","Right Foot",93.6,33.2,94.2,57.7,"No goal"
"d2a20469-df0b-40f2-aab7-567ba775fb73","Gnégnéri Yaya Touré",0.03020744,"Regular Play",44.75377,-0.8391438,"High Pass","Right Foot",70.5,55.2,100.4,21.9,"No goal"
"0f5b408b-d3fe-4914-8abf-14d50f75b2c9","Pedro León Sánchez Gil",0.08411725,"From Throw In",4.920366,2.226492,"Ground Pass","Right Foot",104.7,31.6,101.7,35.5,"No goal"
"f3648f92-a1b2-4f81-8390-227dba5040e5","Lionel Andrés Messi Cuccittini",0.22249524,"From Counter",21.844908,0.7076332,"Ground Pass","Left Foot",83,35,99.6,49.2,"No goal"
"1e8a4a35-6842-42e4-a208-ea2f04ad5b02","Xavier Hernández Creus",0.04483996,"Regular Play",49.912323,-1.2275028,"High Pass","Right Foot",77.6,64.6,94.4,17.6,"No goal"
"d378c170-2070-48c5-9101-ebc13a3d9924","Juan Manuel Gómez Sánchez",0.028984126,"From Free Kick",17.670597,-0.20516455,"Ground Pass","Left Foot",85.7,56.8,103,53.2,"No goal"
"e0113584-ca1e-4c70-b508-e5c9aff237b2","Bojan Krkíc Pérez",0.6225375,"From Throw In",17.70226,-1.6783344,"Ground Pass","Right Foot",116.3,56.5,114.4,38.9,"Goal"
"3ab8af77-96c5-4857-91e2-daacbecc066a","Wesley Sneijder",0.051306084,"From Throw In",11.449454,0.4519294,"Ground Pass","Right Foot",82.7,44.7,93,49.7,"No goal"
"6d79fece-803e-45be-9c34-d42b547ce736","Xavier Hernández Creus",0.018162938,"From Corner",51.40671,1.8648616,"High Pass","Right Foot",106.4,7.1,91.5,56.3,"No goal"
"314ac96c-81ec-4723-8fb2-01dee1d9bebf","José Maria Gutiérrez Hernández",0.16747952,"From Free Kick",29.283783,-0.88698894,"High Pass","Left Foot",95.9,63.6,114.4,40.9,"Goal"
"c4d71989-28a3-48f3-8c39-99e015ddbe8b","Giovani dos Santos Ramírez",0.026630033,"From Free Kick",28.79757,-2.2775393,"Ground Pass","Left Foot",110.2,77.7,91.5,55.8,"No goal"
"936a5f0f-4b3c-4def-b09e-dacabec04815","Lionel Andrés Messi Cuccittini",0.09621766,"From Free Kick",3.4234486,-1.6879051,"Ground Pass","Left Foot",108.9,33.4,108.5,30,"No goal"
"7ef415d6-f651-414b-87a8-b68c7fd1b61d","José Maria Gutiérrez Hernández",0.017755134,"Regular Play",19.811613,-0.74969906,"Ground Pass","Left Foot",72.8,29.4,87.3,15.9,"No goal"
"45eefc39-4e04-4f1a-a28b-7ced44d88d49","Xavier Hernández Creus",0.016989563,"From Throw In",27.995714,1.1039538,"Ground Pass","Right Foot",75.3,51,87.9,76,"No goal"
"7a5affa3-13a7-4127-ac76-f32f01e07a97","Wesley Sneijder",0.04104234,"From Free Kick",18.05464,-0.40416452,"Ground Pass","Right Foot",85.6,30.8,102.2,23.7,"No goal"
"19e0c5a9-3074-43a2-bbb2-79947fc57dc8","Marcelo Vieira da Silva Júnior",0.06707552,"From Free Kick",27.29707,1.4864382,"Low Pass","Left Foot",99.5,12.5,101.8,39.7,"No goal"
"8db1a970-276f-4d5f-87e7-d902bed47ad1","Wesley Sneijder",0.03275513,"Regular Play",26.277176,-0.41938353,"Ground Pass","Right Foot",79.5,31,103.5,20.3,"No goal"
"a6164381-f9f2-49a2-b759-2f0b86f30683","Mahamadou Diarra",0.0423374,"Regular Play",20.884922,-0.97615373,"High Pass","Right Foot",92.4,42.2,104.1,24.9,"No goal"
"4cb3625c-c2c6-40df-a222-c78c09ff166e","Mahamadou Diarra",0.024948824,"From Free Kick",17.974426,0.7460484,"Ground Pass","Right Foot",90.1,45.5,103.3,57.7,"No goal"
"32dc02c5-aacf-4fd8-80e8-d17c720f3f95","Sylvio Mendes Campos Junior",0.21387093,"From Kick Off",43.030804,1.1570553,"High Pass","Left Foot",96.8,5.1,114.1,44.5,"No goal"
"28c612ce-8a00-462c-be83-9bfd471a5996","José Maria Gutiérrez Hernández",0.019900128,"Regular Play",20.888754,2.0537136,"Ground Pass","Left Foot",90.9,22.1,81.2,40.6,"No goal"
"096e1c7a-88bc-4126-9dd7-e0854042ca0f","Arjen Robben",0.019263074,"From Throw In",9.339165,1.7975951,"Ground Pass","Left Foot",94.8,49.9,92.7,59,"No goal"
"c1e10128-b29b-4b79-b71c-82f992bebd9e","Mahamadou Diarra",0.44872737,"Regular Play",13.931619,-1.9766306,"Ground Pass","Right Foot",116.3,65.8,110.8,53,"Goal"
"11e3769a-6096-4e95-bfee-06cdd599a9cd","Giovani dos Santos Ramírez",0.050574627,"From Throw In",10.02846,1.8641633,"Ground Pass","Right Foot",99.3,24.8,96.4,34.4,"No goal"
"de5da44e-d380-4964-b438-2db00e94a646","Wesley Sneijder",0.084282376,"From Free Kick",20.58276,-1.4048489,"Ground Pass","Left Foot",86.1,45.6,89.5,25.3,"No goal"
"d6e130c3-81c6-4eec-99b5-d2eec4d9fd05","Lionel Andrés Messi Cuccittini",0.10931819,"From Goal Kick",17.48285,-0.7408932,"Ground Pass","Left Foot",93.4,33.8,106.3,22,"No goal"
"88c31ca1-888d-4d2a-b893-e88f90f4ab65","Wesley Sneijder",0.03359945,"From Corner",54.265366,-1.7692761,"High Pass","Right Foot",120,80,109.3,26.8,"No goal"
"7a5f0537-ad27-4fcf-8b43-eb766fe8a66f","Róbson de Souza",0.43001547,"From Throw In",24.645487,1.308103,"Ground Pass","Left Foot",104.5,23.9,110.9,47.7,"No goal"
"a23e2d00-4b83-497a-9390-67962a9cdd43","Bojan Krkíc Pérez",0.11312342,"Regular Play",11.742658,-1.6560591,"Ground Pass","Right Foot",95.1,58.5,94.1,46.8,"No goal"
"47975581-9ab9-4a69-ba52-72e8ad3b8ca3","Bojan Krkíc Pérez",0.08247287,"From Counter",10.818965,1.4223634,"Ground Pass","Right Foot",63.6,56.5,65.2,67.2,"No goal"
"2ad8f872-6367-47d4-84ab-45a591a1bf23","Xavier Hernández Creus",0.014250096,"From Corner",11.905041,-2.9557288,"Ground Pass","Right Foot",114.7,72.4,103,70.2,"No goal"
"4da15afc-65cb-4821-986b-19443e75ea61","Lionel Andrés Messi Cuccittini",0.2390457,"Regular Play",36.737175,-0.70833105,"Ground Pass","Left Foot",68.7,50.7,96.6,26.8,"Goal"
"8c864fa6-1623-437c-a168-0d58e72c946c","Samuel Eto""o Fils",0.025236811,"Regular Play",6.718631,-2.8857841,"Ground Pass","Right Foot",98.6,58.6,92.1,56.9,"No goal"
"0ae2fb14-42d5-4d9d-a289-b44b51a11738","Xavier Hernández Creus",0.05176893,"From Corner",36.635094,-1.8415971,"High Pass","Right Foot",120,80,110.2,44.7,"No goal"
"410b42eb-32dd-47aa-80c2-5ae11df2c985","Lionel Andrés Messi Cuccittini",0.20679992,"From Throw In",9.305912,-1.0783106,"Ground Pass","Left Foot",96.5,59.4,100.9,51.2,"Goal"
"c520f7a3-a3e0-46e6-8fc7-5cbd8919992f","Carles Puyol i Saforcada",0.08213437,"Regular Play",19.331322,-1.3145258,"High Pass","Head",107.2,58.8,112.1,40.1,"No goal"
"678d7f53-6610-48c0-a48c-8200d0ce1afa","Lionel Andrés Messi Cuccittini",0.081348024,"From Throw In",14.893287,-0.23032174,"Ground Pass","Left Foot",92.7,52.3,107.2,48.9,"Goal"
