"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","group"
"Millie Bright",19,1,6,2,4,0,5,2,0,0,0,36.6157170894737,6,11,2,12,0,4,3,0,0,74.9684210526316,51.6,102.378947368421,39.1894736842105,"20-"
"Millie Farrow",4,1,1,1,0,0,0,1,1,0,0,8.842056775,4,0,0,3,0,1,0,0,0,98.875,36.6,102.65,38.4,"10-"
"Molly Bartrip",2,1,0,1,1,0,0,0,0,0,0,37.989865,1,1,0,2,0,0,0,0,0,58,58,94,50.5,"10-"
"Paige Williams",13,1,2,4,3,0,0,3,0,1,0,38.1894670769231,3,9,1,0,1,12,0,0,0,92.8461538461538,32.2307692307692,106.538461538462,33.2307692307692,"20-"
"Poppy Pattinson",15,1,2,5,2,0,1,3,1,1,0,27.3389339,7,7,1,2,0,12,1,0,0,88.54,26.66,99.1066666666667,33.0866666666667,"20-"
"Rachel Mclauchlan",2,1,0,1,0,1,0,0,0,0,0,17.91934525,1,1,0,2,0,0,0,0,0,102.5,55.5,107.5,39.5,"10-"
"Rosella Ayane",15,1,4,8,0,1,2,0,0,0,0,19.98046248,8,4,3,8,0,6,1,0,0,100.153333333333,39.66,100.94,47.7133333333333,"20-"
"Rosie Kmita",4,1,2,1,1,0,0,0,0,0,0,18.762728,3,1,0,0,0,4,0,0,0,91.25,28,95.75,39.75,"10-"
"Shannon Albuery",1,1,0,0,0,0,1,0,0,0,0,5.0990195,0,0,1,0,1,0,0,0,0,103,40,108,39,"10-"
"Stephanie Houghton",13,1,3,3,2,0,0,4,0,1,0,28.8401933384615,4,8,1,11,1,0,1,0,0,81.8846153846154,51.3153846153846,106.546153846154,43.3769230769231,"20-"
"Taylor Hinds",4,1,1,2,0,0,0,1,0,0,0,12.24597775,3,0,1,3,0,1,0,0,0,94.2,48.825,97.95,49.6,"10-"
"Abbi Grant",11,0,4,4,0,1,0,1,0,1,0,18.9641829090909,8,0,3,8,0,3,0,0,0,93.4818181818182,31.2363636363636,90.6363636363636,39.2272727272727,"20-"
"Abigail Harrison",13,0,3,8,1,0,0,0,0,1,0,16.0630822307692,6,3,4,8,2,2,1,0,0,101.892307692308,37.3307692307692,98.1230769230769,43.2846153846154,"20-"
"Adelina Engman",3,0,1,0,1,1,0,0,0,0,0,13.6670116666667,1,2,0,2,0,0,1,0,0,101.766666666667,43.8,106.9,37.1333333333333,"10-"
"Adriana Leon",6,0,1,0,2,0,0,3,0,0,0,25.5116436833333,1,4,1,5,0,0,1,0,0,112.316666666667,38.0166666666667,109.933333333333,48.1666666666667,"10-"
"Adrienne Jordan",8,0,3,2,2,0,0,1,0,0,0,20.3118902125,4,3,1,1,0,6,1,0,0,90.7375,20.7125,96.35,34.675,"10-"
"Amber Gaylor",4,0,1,2,0,0,1,0,0,0,0,34.7954295,2,2,0,2,0,2,0,0,0,68,48.25,101.75,47.25,"10-"
"Amy Goddard",1,0,0,0,0,0,1,0,0,0,0,59.908264,0,1,0,1,0,0,0,0,0,34,47,92,32,"10-"
"Amy Turner",8,0,4,2,0,0,1,1,0,0,0,33.7122135625,4,2,2,8,0,0,0,0,0,73.3375,67.2,98.8875,52.2625,"10-"
"Ann-Katrin Berger",1,0,0,0,1,0,0,0,0,0,0,69.641945,0,1,0,1,0,0,0,0,0,40,32,105,7,"10-"
"Anna Filbey",4,0,1,1,1,0,1,0,0,0,0,29.27089875,2,1,1,4,0,0,0,0,0,56.575,32.175,84.05,30.425,"10-"
"Anne Moorhouse",1,0,0,0,0,0,0,0,0,1,0,79.468735,0,1,0,1,0,0,0,0,0,3.4,48.2,81.2,64.4,"10-"
"Aoife Mannion",11,0,3,2,6,0,0,0,0,0,0,26.2438412727273,7,3,1,10,0,1,0,0,0,80.4454545454546,36.1636363636364,94.2636363636364,25.9181818181818,"20-"
"Ashleigh Neville",8,0,3,3,1,0,0,0,0,1,0,24.835717,4,4,0,6,0,1,1,0,0,85.6125,51.3,101.4375,41.65,"10-"
"Ashley Hodson",3,0,0,1,0,0,0,1,0,1,0,26.7536678333333,1,2,0,2,1,0,0,0,0,82.4333333333333,47.7333333333333,103.866666666667,59.1,"10-"
"Ava Kuyken",1,0,0,0,0,0,0,1,0,0,0,7.071068,0,0,1,1,0,0,0,0,0,98,32,93,27,"10-"
"Bethan Roe",1,0,0,1,0,0,0,0,0,0,0,10.049875,0,0,1,0,0,0,1,0,0,83,53,93,54,"10-"
"Bonnie Horwood",8,0,2,3,2,0,0,1,0,0,0,24.6829985,2,3,3,5,1,2,0,0,0,86.625,51.875,97.375,48,"10-"
"Brooke Hendrix",3,0,0,0,1,0,1,1,0,0,0,12.9263886666667,1,1,1,0,0,1,2,0,0,100.233333333333,23.2666666666667,104.2,27.1,"10-"
"Charlie Taylor",1,0,1,0,0,0,0,0,0,0,0,13.892444,1,0,0,1,0,0,0,0,0,94,70,87,58,"10-"
"Charlotte Buxton",1,0,0,1,0,0,0,0,0,0,0,61,0,0,1,1,0,0,0,0,0,50,60,111,60,"10-"
"Chloe Peplow",16,0,1,3,3,0,3,6,0,0,0,32.153045375,8,8,0,16,0,0,0,0,0,92.6875,36.65625,101.03125,41.84375,"20-"
"Claire Lauren Rafferty",18,0,4,3,4,0,0,7,0,0,0,31.9844748333333,4,14,0,0,0,18,0,0,0,107.5,43.5555555555556,106.944444444444,33.5,"20-"
"Coral-Jade Haines",1,0,0,1,0,0,0,0,0,0,0,21.30094,0,0,1,1,0,0,0,0,0,81.6,23.2,99.4,11.5,"10-"
"Courtney Brosnan",1,0,0,0,0,1,0,0,0,0,0,90.06187,0,1,0,0,0,0,0,0,1,15.2,48.6,103.7,31.9,"10-"
"Courtney Sweetman-Kirk",15,0,7,4,2,0,2,0,0,0,0,17.14879674,9,2,4,13,1,1,0,0,0,92.72,43.5933333333333,97.6,43.8066666666667,"20-"
"Danielle Carter",1,0,1,0,0,0,0,0,0,0,0,28.01785,0,1,0,1,0,0,0,0,0,107,11,108,39,"10-"
"Deanna Cooper",1,0,0,1,0,0,0,0,0,0,0,16.27882,1,0,0,1,0,0,0,0,0,95,58,111,55,"10-"
